F,W,Z,Down,Up
77,43,2,0.40555555555555556,0.6331658291457286
89,43,2,0.367816091954023,0.4388888888888889
101,43,2,0.42168674698795183,0.4367816091954023
113,43,2,0.28,0.6465863453815262
125,43,2,0.3651685393258427,0.56
17,7,3,0.0,0
29,7,3,0.18128654970760238,0.3940677966101695
41,7,3,0.4222222222222223,0.6608187134502924
53,7,3,0.6470588235294117,0.6944444444444444
65,7,3,0.6171875,0.7647058823529411
77,7,3,0.5217391304347826,0.828125
89,7,3,0.24848484848484853,0.7717391304347826
101,7,3,0.26315789473684215,0.8909090909090909
113,7,3,0.339622641509434,0.8245614035087719
125,7,3,0.3188405797101449,0.8679245283018868
17,11,3,0.0,0
29,11,3,0.277027027027027,0.3173431734317343
41,11,3,0.33333333333333337,0.6013513513513513
53,11,3,0.4117647058823529,0.5555555555555556
65,11,3,0.48,0.5882352941176471
77,11,3,0.45394736842105265,0.64
89,11,3,0.10769230769230764,0.7631578947368421
101,11,3,0.13636363636363635,0.8153846153846154
113,11,3,0.37209302325581395,0.7386363636363636
125,11,3,0.33333333333333337,0.8372093023255814
17,15,3,0.0,0
29,15,3,0.14364640883977897,0.22920892494929007
41,15,3,0.3671875,0.585635359116022
53,15,3,0.4512195121951219,0.5234375
65,15,3,0.4477611940298507,0.573170731707317
77,15,3,0.4,0.7014925373134329
89,15,3,0.09411764705882353,0.7793103448275862
101,15,3,0.2857142857142857,0.6235294117647059
113,15,3,0.49650349650349646,0.8571428571428571
125,15,3,0.20588235294117652,0.8391608391608392
29,19,3,0.0,0
41,19,3,0.5384615384615384,0.4
53,19,3,0.6052631578947368,0.4825174825174825
65,19,3,0.35051546391752575,0.5263157894736842
77,19,3,0.2149532710280374,0.5876288659793815
89,19,3,0.16666666666666663,0.8317757009345794
101,19,3,0.16923076923076918,0.8333333333333334
113,19,3,0.2696629213483146,0.7384615384615385
125,19,3,0.31034482758620685,0.7303370786516854
29,23,3,0.0,0
41,23,3,0.49404761904761907,0.4264069264069264
53,23,3,0.28846153846153844,0.5982142857142857
65,23,3,0.4,0.40384615384615385
77,23,3,0.19999999999999996,0.5538461538461539
89,23,3,0.0,0.8
101,23,3,0.08823529411764708,0.5454545454545454
113,23,3,0.03418803418803418,0.6617647058823529
125,23,3,0.22448979591836737,0.8717948717948718
29,27,3,0.0,0
41,27,3,0.2605633802816901,0.3047945205479452
53,27,3,0.40458015267175573,0.4119718309859155
65,27,3,0.18840579710144922,0.3282442748091603
77,27,3,0.18881118881118886,0.6884057971014492
89,27,3,0.1964285714285714,0.7902097902097902
101,27,3,0.23333333333333328,0.8035714285714286
113,27,3,0.11214953271028039,0.5333333333333333
125,27,3,0.31818181818181823,0.794392523364486
41,31,3,0.0,0
53,31,3,0.49593495934959353,0.39622641509433965
65,31,3,0.3138075313807531,0.3699186991869919
77,31,3,0.1768707482993197,0.6569037656903766
89,31,3,0.2457627118644068,0.7891156462585034
101,31,3,0.09999999999999998,0.7203389830508474
113,31,3,0.03703703703703709,0.8
125,31,3,0.2302158273381295,0.7407407407407407
41,35,3,0.0,0
